distribution_id,dtau_type,S_star_id,S,Sigma_id,distribution,tau,sigma_id,d,departure_id,stat_id,quantiles_id,zeta1_id,quantile_id,alpha,epsilon,norm,power
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.7,Euclidean,0.755
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.7,Euclidean,0.5972
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.7,Euclidean,0.4502
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.7,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.7,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.7,Supremum,0.999
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.8,Euclidean,0.794
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.8,Euclidean,0.6364
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.8,Euclidean,0.4908
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.8,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.8,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.8,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.9,Euclidean,0.8258
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.9,Euclidean,0.6782
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.9,Euclidean,0.5342
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,3.9,Supremum,0.9998
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,3.9,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,3.9,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4,Euclidean,0.8528
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4,Euclidean,0.7138
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4,Euclidean,0.5724
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4,Supremum,0.9998
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4,Supremum,0.9994
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.1,Euclidean,0.8754
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.1,Euclidean,0.7508
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.1,Euclidean,0.6146
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.1,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.1,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.1,Supremum,0.9998
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.2,Euclidean,0.8968
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.2,Euclidean,0.7912
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.2,Euclidean,0.6552
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.2,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.2,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.2,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.3,Euclidean,0.9192
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.3,Euclidean,0.8252
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.3,Euclidean,0.6982
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.3,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.3,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.3,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.4,Euclidean,0.9352
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.4,Euclidean,0.8508
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.4,Euclidean,0.7374
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.4,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,4.4,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,4.4,Supremum,1
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,4.5,Euclidean,0.95
