n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
150,50,0,Sh,SbJ,Euclidean,0.2,single,normal,7,0,2500,,1
150,50,0,I,SbJ,Euclidean,0.2,single,normal,6.8,0,2500,,1
150,50,0,Sh,SbJ,Supremum,0.2,single,normal,34.52,0,2500,,1
150,50,0,I,SbJ,Supremum,0.2,single,normal,34.48,0,2500,,1
100,50,0,Sh,SbJ,Euclidean,0,none,normal,4.4,0,2500,,1
100,50,0,I,SbJ,Euclidean,0,none,normal,4.32,0,2500,,1
100,50,0,Sh,SbJ,Supremum,0,none,normal,3.12,0,2500,,1
100,50,0,I,SbJ,Supremum,0,none,normal,3.36,0,2500,,1
100,50,0.3,Sh,SbJ,Euclidean,0,none,normal,0.96,0,2500,,1
100,50,0.3,I,SbJ,Euclidean,0,none,normal,2.92,0,2500,,1
100,50,0.3,Sh,SbJ,Supremum,0,none,normal,3.96,0,2500,,1
100,50,0.3,I,SbJ,Supremum,0,none,normal,4.6,0,2500,,1
100,50,0.3,Sh,SbJ,Euclidean,0.2,column,normal,22.32,0,2500,,1
100,50,0.3,I,SbJ,Euclidean,0.2,column,normal,98.16,0,2500,,1
100,50,0.3,Sh,SbJ,Supremum,0.2,column,normal,33.72,0,2500,,1
100,50,0.3,I,SbJ,Supremum,0.2,column,normal,99.36,0,2500,,1
50,50,0,Sh,SbJ,Euclidean,0.1,column,normal,4.24,0,2500,,1
50,50,0,I,SbJ,Euclidean,0.1,column,normal,18.44,0,2500,,1
50,50,0,Sh,SbJ,Supremum,0.1,column,normal,4.32,0,2500,,1
50,50,0,I,SbJ,Supremum,0.1,column,normal,9.36,0,2500,,1
50,50,0,Sh,SbJ,Euclidean,0.2,single,normal,5.36,0,2500,,1
50,50,0,I,SbJ,Euclidean,0.2,single,normal,5.24,0,2500,,1
50,50,0,Sh,SbJ,Supremum,0.2,single,normal,3.88,0,2500,,1
50,50,0,I,SbJ,Supremum,0.2,single,normal,3.96,0,2500,,1
150,50,0.3,Sh,SbJ,Euclidean,0.1,single,normal,3.08,0,2500,,1
150,50,0.3,I,SbJ,Euclidean,0.1,single,normal,3.84,0,2500,,1
150,50,0.3,Sh,SbJ,Supremum,0.1,single,normal,12.96,0,2500,,1
150,50,0.3,I,SbJ,Supremum,0.1,single,normal,7.16,0,2500,,1
50,50,0.6,Sh,SbJ,Euclidean,0.1,column,normal,0,0,2500,,1
50,50,0.6,I,SbJ,Euclidean,0.1,column,normal,32.16,0,2500,,1
50,50,0.6,Sh,SbJ,Supremum,0.1,column,normal,3.2,0,2500,,1
50,50,0.6,I,SbJ,Supremum,0.1,column,normal,61.44,0,2500,,1
150,50,0.6,Sh,SbJ,Euclidean,0.1,single,normal,1.76,0,2500,,1
150,50,0.6,I,SbJ,Euclidean,0.1,single,normal,2.44,0,2500,,1
150,50,0.6,Sh,SbJ,Supremum,0.1,single,normal,82.64,0,2500,,1
150,50,0.6,I,SbJ,Supremum,0.1,single,normal,36.12,0,2500,,1
100,50,0.3,Sh,SbJ,Euclidean,0.2,single,normal,3.8,0,2500,,1
100,50,0.3,I,SbJ,Euclidean,0.2,single,normal,4.36,0,2500,,1
100,50,0.3,Sh,SbJ,Supremum,0.2,single,normal,67.28,0,2500,,1
100,50,0.3,I,SbJ,Supremum,0.2,single,normal,32.72,0,2500,,1
100,50,0,Sh,SbJ,Euclidean,0.2,column,normal,22.68,0,2500,,1
100,50,0,I,SbJ,Euclidean,0.2,column,normal,94.92,0,2500,,1
100,50,0,Sh,SbJ,Supremum,0.2,column,normal,19.8,0,2500,,1
100,50,0,I,SbJ,Supremum,0.2,column,normal,91.8,0,2500,,1
100,50,0.3,Sh,SbJ,Euclidean,0.1,column,normal,2.6,0,2500,,1
100,50,0.3,I,SbJ,Euclidean,0.1,column,normal,40.12,0,2500,,1
100,50,0.3,Sh,SbJ,Supremum,0.1,column,normal,5.52,0,2500,,1
100,50,0.3,I,SbJ,Supremum,0.1,column,normal,46.68,0,2500,,1
150,50,0.6,Sh,SbJ,Euclidean,0.2,column,normal,100,0,2500,,1
150,50,0.6,I,SbJ,Euclidean,0.2,column,normal,100,0,2500,,1
150,50,0.6,Sh,SbJ,Supremum,0.2,column,normal,100,0,2500,,1
150,50,0.6,I,SbJ,Supremum,0.2,column,normal,100,0,2500,,1
50,50,0,Sh,SbJ,Euclidean,0.2,column,normal,6.12,0,2500,,1
50,50,0,I,SbJ,Euclidean,0.2,column,normal,60.6,0,2500,,1
50,50,0,Sh,SbJ,Supremum,0.2,column,normal,8.36,0,2500,,1
50,50,0,I,SbJ,Supremum,0.2,column,normal,56.24,0,2500,,1
100,50,0,Sh,SbJ,Euclidean,0.1,single,normal,4.76,0,2500,,1
100,50,0,I,SbJ,Euclidean,0.1,single,normal,4.64,0,2500,,1
100,50,0,Sh,SbJ,Supremum,0.1,single,normal,4.72,0,2500,,1
100,50,0,I,SbJ,Supremum,0.1,single,normal,4.8,0,2500,,1
150,50,0.6,Sh,SbJ,Euclidean,0.1,column,normal,10.72,0,2500,,1
150,50,0.6,I,SbJ,Euclidean,0.1,column,normal,99.08,0,2500,,1
150,50,0.6,Sh,SbJ,Supremum,0.1,column,normal,27.28,0,2500,,1
150,50,0.6,I,SbJ,Supremum,0.1,column,normal,99.84,0,2500,,1
50,50,0.3,Sh,SbJ,Euclidean,0,none,normal,0.68,0,2500,,1
50,50,0.3,I,SbJ,Euclidean,0,none,normal,2.96,0,2500,,1
50,50,0.3,Sh,SbJ,Supremum,0,none,normal,3.48,0,2500,,1
50,50,0.3,I,SbJ,Supremum,0,none,normal,5.12,0,2500,,1
50,50,0,Sh,SbJ,Euclidean,0.1,single,normal,3.92,0,2500,,1
50,50,0,I,SbJ,Euclidean,0.1,single,normal,4.12,0,2500,,1
